00:22:21 [32mINFO [0m [90msrc/riscv.c:552:[0m Log level: TRACE
00:22:21 [32mINFO [0m [90msrc/riscv.c:565:[0m test.elf ELF loaded
00:22:21 [32mINFO [0m [90msrc/main.c:315:[0m RISC-V emulator is created and ready to run
x,y0,y1,y2
1,65536,65536,65536
2,46341,46341,46341
3,39555,37718,37836
4,32768,32768,32768
5,30369,29250,29308
6,27969,26671,26754
7,25570,24731,24770
8,23170,23170,23170
9,22322,21829,21845
10,21474,20683,20724
11,20626,19702,19759
12,19777,18859,18918
13,18929,18129,18176
14,18081,17487,17515
15,17233,16912,16921
16,16384,16384,16384
17,16085,15891,15894
18,15785,15435,15447
19,15485,15014,15034
20,15185,14625,14654
21,14885,14264,14301
22,14585,13931,13972
23,14285,13622,13665
24,13985,13335,13377
25,13685,13068,13107
26,13385,12819,12852
27,13085,12585,12612
28,12785,12365,12385
29,12485,12157,12169
30,12185,11959,11965
31,11885,11769,11770
32,11585,11585,11585
33,11479,11407,11408
34,11373,11236,11239
35,11267,11072,11077
36,11161,10914,10922
37,11055,10763,10774
38,10949,10617,10631
39,10843,10476,10494
40,10737,10341,10362
41,10631,10211,10234
42,10525,10086,10112
43,10419,9966,9994
44,10313,9851,9879
45,10207,9739,9769
46,10101,9632,9662
47,9995,9529,9559
48,9889,9429,9459
49,9783,9333,9362
50,9677,9240,9268
51,9571,9151,9176
52,9465,9064,9088
53,9359,8980,9001
54,9253,8899,8918
55,9147,8820,8836
56,9041,8743,8757
57,8935,8669,8680
58,8829,8596,8605
59,8723,8525,8532
60,8617,8456,8460
61,8511,8388,8391
62,8405,8321,8323
63,8299,8256,8256
64,8192,8192,8192
65,8155,8128,8128
66,8118,8066,8066
67,8080,8005,8006
68,8043,7945,7947
69,8005,7887,7889
70,7968,7829,7833
71,7930,7773,7777
72,7893,7717,7723
73,7855,7663,7670
74,7818,7610,7618
75,7780,7558,7567
76,7743,7507,7517
77,7705,7457,7468
78,7668,7408,7420
79,7630,7359,7373
80,7593,7312,7327
81,7555,7266,7281
82,7518,7220,7237
83,7480,7176,7193
84,7443,7132,7150
85,7405,7089,7108
86,7368,7047,7066
87,7330,7006,7026
88,7293,6965,6986
89,7255,6925,6946
90,7218,6886,6908
91,7180,6848,6869
92,7143,6811,6832
93,7105,6774,6795
94,7068,6738,6759
95,7030,6702,6723
96,6993,6667,6688
97,6956,6633,6654
98,6918,6599,6620
99,6881,6566,6586
100,6843,6534,6553
--- Performance ---
Total Cycles (100 calls): 2332770
Avg Cycles per call: 23327
Total Instructions (100 calls): 2332770
Avg Instructions per call: 23327
00:22:21 [32mINFO [0m [90msrc/main.c:338:[0m RISC-V emulator is destroyed
